k 	 mvg 	 naivebayes 	 tiedCov
2 	 79.3	75.5	78.8	
3 	 79.2	76.1	79.1	
4 	 78.8	75.9	79.2	
5 	 79.7	75.7	79.3	
6 	 80.0	76.3	79.1	
7 	 80.0	76.6	79.1	
8 	 80.4	76.1	79.0	
9 	 80.0	76.1	79.1	
10 	 80.3	76.0	79.2	
11 	 80.3	75.8	79.2	
12 	 80.0	76.0	79.1	
13 	 80.0	76.0	79.0	
14 	 80.0	75.9	79.0	
15 	 80.0	75.8	78.8	
16 	 79.9	75.8	79.0	
17 	 79.8	75.9	78.8	
18 	 80.1	75.8	79.0	
19 	 80.1	76.0	79.0	
20 	 80.1	76.0	79.2	
21 	 79.8	75.8	79.0	
22 	 80.0	75.9	79.0	
23 	 79.9	76.1	79.3	
24 	 80.2	76.0	79.0	
25 	 80.0	75.9	79.1	
26 	 80.3	76.0	79.2	
27 	 80.2	75.8	78.8	
28 	 80.0	75.9	79.2	
29 	 79.9	75.9	79.1	
30 	 80.0	75.8	78.9	
31 	 80.1	76.0	79.0	
32 	 80.2	76.1	79.0	
33 	 80.3	76.2	79.3	
34 	 80.0	76.0	78.9	
35 	 80.0	76.0	79.2	
36 	 79.8	76.0	78.8	
37 	 80.0	76.1	79.2	
38 	 79.9	75.9	78.9	
39 	 79.9	75.9	78.8	
