pca, type,gmm, precision
no, full, 1,16.43013100436681  k = 8 
no, full, 2,15.665938864628822
no, full, 4,15.393013100436685
no, full, 8,11.790393013100438
no, full, 16,9.716157205240174
yes, full, 1,16.99346405228758		this is for k= 4 
yes, full, 2,15.84967320261438
yes, full, 4,15.84967320261438
yes, full, 8,12.908496732026144
yes, full, 16,9.313725490196077
no, tied , 1, 16.43013100436681
no, tied , 2, 16.43013100436681
no, tied , 4, 16.430131004366814
no, tied , 8, 16.375545851528386
no, tied , 16, 14.90174672489083   this is for k = 8
yes, tied , 1, 18.61353711790393
yes, tied , 2, 18.61353711790393
yes, tied , 4, 18.995633187772924
yes, tied , 8, 18.39519650655022
yes, tied , 16, 17.5764192139738			this is for k = 8
no, diag , 1, 21.997816593886462 this is for k = 8
no, diag , 2,21.56113537117904
no, diag , 4,19.21397379912664
no, diag , 8,15.06550218340611
no, diag , 16,13.482532751091702
yes, diag , 1, 20.251091703056765
yes, diag , 2, 21.342794759825324
yes, diag , 4, 21.2882096069869
yes, diag , 8, 16.812227074235807
yes, diag , 16, 16.048034934497814



 
