#------ results with pca ------

K 	 set 	 c 	 error Rate 	 duality gap 	 primal 
8 	 0 	0.001	29.258 	 0.0 	 1.1217400000000002
8 	 1 	0.005	24.454 	 0.0 	 5.93801
8 	 2 	0.01	26.201 	 0.0884 	 13.15351
8 	 3 	0.05	30.131 	 43.101800000000004 	 110.63025
8 	 4 	0.08	25.328 	 6.110600000000001 	 119.7613
8 	 5 	0.1	23.144000000000002 	 3.7781000000000002 	 157.18594000000002
8 	 6 	0.5	17.904 	 119.13130000000001 	 859.09351
8 	 7 	0.9	27.074 	 342.7275 	 1057.13319


#------ results without pca
